title,description,url,published_date,source,country,language
Nagaland suspends IAS officer Reny Wilfred amid probe into sexual harassment allegations against him,,https://indianexpress.com/article/india/nagaland-suspends-ias-officer-reny-wilfred-sexual-harassment-allegations-10022454/,2025-05-22T14:22:35,Indian Express,India,en
Telangana govts expert group to formulate first-of-its-kind Composite Backwardness Index,,https://indianexpress.com/article/india/telangana-govts-expert-group-formulate-first-composite-backwardness-index-10022444/,2025-05-22T14:02:32,Indian Express,India,en
"Considered man-eater, Assam mob kills tiger forest officials find its leg, flesh missing",,https://indianexpress.com/article/india/man-eater-assam-mob-kills-tiger-forest-leg-flesh-missing-10022407/,2025-05-22T13:40:25,Indian Express,India,en
"IAF personnel tries to get off moving train in Bihar, dies",,https://indianexpress.com/article/india/iaf-personnel-moving-train-bihar-dies-10021819/,2025-05-22T13:23:17,Indian Express,India,en
"State involved, army up to neck in it Jaishankar slams Pakistan over terror links with a Kashmir rebuke",,https://indianexpress.com/article/india/jaishankar-slams-pakistan-over-terror-links-says-kashmir-not-for-mediation-10022174/,2025-05-22T13:00:48,Indian Express,India,en
Seat blocking in NEET-PG admissions Supreme Court orders mandatory pre-counselling fee disclosure,,https://indianexpress.com/article/india/seat-blocking-neet-pg-supreme-court-pre-counselling-fee-disclosure-10022202/,2025-05-22T12:22:16,Indian Express,India,en
"Expect Turkey to urge Pakistan to What MEA said on India-Pak ties, all-party delegation",,https://indianexpress.com/article/india/turkey-pakistan-mea-india-pak-ties-all-party-delegation-10022180/,2025-05-22T12:20:50,Indian Express,India,en
CBI files chargesheet against former JK governor Satya Pal Malik and 6 others in Kiru hydropower corruption case,,https://indianexpress.com/article/india/satya-pal-malik-cbi-chargesheet-former-jk-governor-hydel-project-10022160/,2025-05-22T12:02:33,Indian Express,India,en
Supreme Court reserves interim orders in Waqf case,,https://indianexpress.com/article/india/supreme-court-reserves-interim-orders-in-waqf-case-10022110/,2025-05-22T11:41:40,Indian Express,India,en
Soldier killed in exchange of fire with terrorists in Kishtwar encounter,,https://indianexpress.com/article/india/soldier-killed-fire-terrorists-kishtwar-encounter-10022101/,2025-05-22T11:29:05,Indian Express,India,en
"Kerala minor, thrown into river by her mother, was repeatedly sexually abused by uncle",,https://indianexpress.com/article/india/kerala-minor-thrown-into-river-by-her-mother-was-repeatedly-sexually-abused-by-uncle-10022040/,2025-05-22T10:49:45,Indian Express,India,en
"After SC red-flagged custodial death in MPs Guna, report finds most arrests there from oppressed castes, tribal communities",,https://indianexpress.com/article/india/sc-custodial-death-mps-guna-arrests-oppressed-castes-tribal-communities-10022028/,2025-05-22T10:47:16,Indian Express,India,en
One CoBRA commando killed in encounter on Sukma-Bijapur border,,https://indianexpress.com/article/india/one-cobra-commando-killed-in-encounter-on-sukma-bijapur-border-10021950/,2025-05-22T10:36:51,Indian Express,India,en
"After Pak drones swarmed its skies during Op Sindoor, Punjab set to procure and deploy anti-drone systems",,https://indianexpress.com/article/india/pak-drones-op-sindoor-punjab-anti-drone-systems-10021884/,2025-05-22T10:34:41,Indian Express,India,en
"Grand sounding but hollow filmy dialogues Congress slams PM, asks why hes mum on Trumps ceasefire claims",,https://indianexpress.com/article/india/congress-slams-pm-why-silent-trump-ceasefire-claims-10021977/,2025-05-22T10:34:23,Indian Express,India,en
"Modis mind is cool, but blood runs hot sindoor flows in my veins In Bikaner, PMs message to Pakistan",,https://indianexpress.com/article/india/pm-narendra-modi-bikaner-visit-operation-sindoor-india-pakistan-10021740/,2025-05-22T08:52:21,Indian Express,India,en
"Import curbs on Bangladesh havent hit local consumers yet in Tripura, traders say",,https://indianexpress.com/article/india/import-curbs-bangladesh-hit-local-consumers-tripura-traders-10021741/,2025-05-22T08:34:18,Indian Express,India,en
"For lone Muslim keeping azaan alive in this Bihar village, Waqf law is another reason to stay put",,https://indianexpress.com/article/india/waqf-law-muslim-azaan-alive-nalanda-10021714/,2025-05-22T08:23:53,Indian Express,India,en
"Turkey out, central Asia in Where Indian tourists are headed instead this summer",,https://indianexpress.com/article/india/turkey-central-asia-indian-tourists-headed-instead-summer-10021685/,2025-05-22T08:17:43,Indian Express,India,en
Devuji or Sonu Who will head the Maoists now that Basavaraju is dead?,,https://indianexpress.com/article/india/devuji-sonu-maoists-head-basavaraju-dead-10021579/,2025-05-22T07:33:54,Indian Express,India,en
"Hours after top Maoist leaders killing, IED blast claims life of another District Reserve Guard jawan in Chhattisgarh",,https://indianexpress.com/article/india/top-maoist-leader-killing-ied-blast-claims-life-district-reserve-guard-jawan-chhattisgarh-10021492/,2025-05-22T06:53:52,Indian Express,India,en
ED crossing all limitsviolating federal structure SC stays money-laundering probe against TASMAC,,https://indianexpress.com/article/india/sc-money-laundering-raid-tasmac-scam-ed-10021448/,2025-05-22T06:36:00,Indian Express,India,en
Manipur 48-hour bandh affects normal life in Imphal Valley,,https://indianexpress.com/article/india/manipur-bandh-affects-life-imphal-valley-10021385/,2025-05-22T06:23:09,Indian Express,India,en
Gunfight erupts in Jammu and Kashmirs Kishtwar as security forces corner terrorists,,https://indianexpress.com/article/india/jammu-and-kashmir-terrorists-encounter-kishtwar-jem-10021104/,2025-05-22T03:06:01,Indian Express,India,en
"A month after Pahalgam, probe agencies keep hunt alive for attackers",,https://indianexpress.com/article/india/a-month-after-pahalgam-probe-agencies-keep-hunt-alive-for-attackers-10020789/,2025-05-22T01:30:57,Indian Express,India,en
"Amid cyberattacks, JK tells departments Shut down unauthorised govt websites",,https://indianexpress.com/article/india/amid-cyberattacks-jk-asks-departments-to-shut-down-unauthorised-govt-websites-10020700/,2025-05-22T01:30:56,Indian Express,India,en
No one is asking for proof of terror strikes in Pak Vice-President Jagdeep Dhankhar on Operation Sindoor,,https://indianexpress.com/article/india/no-one-is-asking-for-proof-of-terror-strikes-in-pak-vice-president-jagdeep-dhankhar-on-operation-sindoor-10020879/,2025-05-22T01:30:39,Indian Express,India,en
"An ancient Indian mariner, a warrior queen, and a love story  what gave INSV Kaundinya its name",,https://indianexpress.com/article/india/an-ancient-indian-mariner-a-warrior-queen-and-a-love-story-what-gave-insv-kaundinya-its-name-10020800/,2025-05-22T01:30:28,Indian Express,India,en
"NCs resolution on special status, statehood comes under Opposition fire Why not in Assembly?",,https://indianexpress.com/article/india/ncs-resolution-on-special-status-statehood-comes-under-opposition-fire-why-not-in-assembly-10020698/,2025-05-22T01:30:18,Indian Express,India,en
"Sexual harassment allegations against Jabalpur University V-C, Madhya Pradesh High Court forms SIT to probe",,https://indianexpress.com/article/india/sexual-harassment-allegations-against-jabalpur-university-v-c-madhya-pradesh-high-court-forms-sit-to-probe-10020876/,2025-05-22T01:30:17,Indian Express,India,en
"Lights, camera, inaction Why first batch at Arunachals Film and Television Institute is refusing to attend classes",,https://indianexpress.com/article/india/lights-camera-inaction-in-arunachal-first-batch-of-film-and-television-institute-has-a-rough-start-10020776/,2025-05-22T01:25:25,Indian Express,India,en
Due procedure not followed for revocation of security clearance Turkish firm Celebi to Delhi High Court,,https://indianexpress.com/article/india/due-procedure-not-followed-for-revocation-of-security-clearance-turkish-firm-celebi-to-delhi-high-court-10020853/,2025-05-21T22:50:59,Indian Express,India,en
"In a first, Jal Shakti Ministry invites over 60 MPs to discuss concerns about its schemes",,https://indianexpress.com/article/india/jal-shakti-schemes-mps-meet-today-to-discuss-issues-concerns-10020860/,2025-05-21T22:50:20,Indian Express,India,en
Madras High Court stays Tamil Nadu amendments on vice-chancellor appointments,,https://indianexpress.com/article/india/madras-hc-tamil-nadu-amendment-vice-chancellor-appointment-10020581/,2025-05-21T17:18:48,Indian Express,India,en
Baseless MEA rejects Pak claim on India role in Balochistan suicide attack,,https://indianexpress.com/article/india/mea-rejects-pak-india-role-balochistan-suicide-attack-10020478/,2025-05-21T15:51:48,Indian Express,India,en
Karnataka transfers trained Kumki elephants to Andhra. Whats special about the tuskers?,,https://indianexpress.com/article/india/karnataka-kumki-elephants-andhra-special-10020340/,2025-05-21T15:37:13,Indian Express,India,en
Gangster who helped associate break out of Rajasthan police station six years ago arrested,,https://indianexpress.com/article/india/gangster-associate-breakout-rajasthan-police-arrested-10020403/,2025-05-21T15:15:54,Indian Express,India,en
"India expels another Pakistan High Commission staffer, second in a week",,https://indianexpress.com/article/india/india-expels-second-pakistani-official-10020342/,2025-05-21T15:10:25,Indian Express,India,en
"In Odisha, BJD  Congress demand 27 backward classes quota in professional courses",,https://indianexpress.com/article/india/odisha-bjd-congress-demand-backward-classes-quota-professional-courses-10020103/,2025-05-21T13:32:31,Indian Express,India,en
"No Bangladeshi, Rohingya immigrants will be allowed in Tripura, shall push them back if caught CM Manik Saha",,https://indianexpress.com/article/india/bangladeshi-rohingya-immigrants-tripura-cm-manik-saha-10020109/,2025-05-21T13:20:36,Indian Express,India,en
"Specialised force that gunned down Basava Raju, what is Chhattisgarhs DRG?",,https://indianexpress.com/article/india/basava-raju-gunned-down-chhattisgarh-drd-10020044/,2025-05-21T13:01:10,Indian Express,India,en
"Worker feared dead after falling into abandoned mine on fire Ramgarh, Jharkhand",,https://indianexpress.com/article/india/worker-feared-dead-falling-abandoned-mine-fire-jharkhand-10019962/,2025-05-21T12:28:40,Indian Express,India,en
When will you take action against your own leaders? BJP attacks Mamata Banerjee over report on Murshidabad violence,,https://indianexpress.com/article/india/bjp-mamata-banerjee-murshidabad-violence-10019711/,2025-05-21T10:28:10,Indian Express,India,en
"Action has to be taken by President, PM SC rejects plea seeking FIR in Justice Yashwant Varma cash row case",,https://indianexpress.com/article/india/cash-at-residence-supreme-court-justice-yashwant-varma-10019674/,2025-05-21T10:05:57,Indian Express,India,en
From radical student to armed commando Why Basava Rajus death is a blow to Maoists,,https://indianexpress.com/article/india/basava-raju-death-maoits-radical-student-armed-cammando-10019641/,2025-05-21T09:49:13,Indian Express,India,en
"Waqf boards perform secular functions, false narrative being created on waqf-by-user SG to top court",,https://indianexpress.com/article/india/supreme-court-hearing-pleas-waqf-bill-day-2-10018959/,2025-05-21T09:40:38,Indian Express,India,en
750 pilgrims shortlisted for Kailash Mansarovar Yatra resuming after 6 years,,https://indianexpress.com/article/india/750-pilgrims-shortlisted-kailash-mansarovar-yatra-resuming-after-6-years-10019599/,2025-05-21T09:32:12,Indian Express,India,en
Not a terrorist SC grants anticipatory bail to ex-IAS probationer Puja Khedkar,,https://indianexpress.com/article/india/puja-khedkar-upsc-cheating-case-supreme-court-bail-10019322/,2025-05-21T07:22:29,Indian Express,India,en
"SC grants interim bail to Ashoka University Professor Ali Khan Mahmudabad, calls his post on Op Sindoor dog whistling",,https://indianexpress.com/article/india/supreme-court-interim-bail-ashoka-university-professor-operation-sindoor-10018998/,2025-05-21T06:46:09,Indian Express,India,en
"Chief Maoist among 27 killed in Abujhmad encounter, takes toll this year to 200",,https://indianexpress.com/article/india/maoists-dead-encounter-chhattisgarh-abujhmad-narayanpur-10019156/,2025-05-21T05:49:36,Indian Express,India,en
Telangana leads in recovery of stolen and lost phones through CEIR portal,,https://indianexpress.com/article/india/telangana-recovery-stolen-lost-phones-ceir-portal-10019101/,2025-05-21T05:07:53,Indian Express,India,en
Historic Mizoram Chief Minister Lalduhoma declares state fully literate,,https://indianexpress.com/article/india/historic-mizoram-chief-minister-lalduhoma-declares-state-fully-literate-10018563/,2025-05-21T02:10:12,Indian Express,India,en
"As India struck terror targets inside Pakistan and PoK, T-72 tanks, BMP-2 armoured vehicles moved up to LoC",,https://indianexpress.com/article/india/as-india-struck-terror-targets-inside-pakistan-and-pok-t-72-tanks-bmp-2-armoured-vehicles-moved-up-to-loc-10018721/,2025-05-21T01:25:32,Indian Express,India,en
What was that trade diplomacy? JK Congress tears into Centre over Trumps mediation claims in ceasefire with Pakistan,,https://indianexpress.com/article/india/what-was-that-trade-diplomacy-jk-congress-tears-into-centre-over-trumps-mediation-claims-in-ceasefire-with-pakistan-10018571/,2025-05-21T01:25:16,Indian Express,India,en
"At upcoming Central Vista National Museum, plans for a glass dome inspired by the Louvre",,https://indianexpress.com/article/india/at-upcoming-central-vista-national-museum-plans-for-a-glass-dome-inspired-by-the-louvre-10018649/,2025-05-20T23:28:05,Indian Express,India,en
SC allows TN to appoint priests in non-Agama temples in state,,https://indianexpress.com/article/india/sc-allows-tn-to-appoint-priests-in-non-agama-temples-in-state-10018709/,2025-05-20T23:25:55,Indian Express,India,en
"Jayant Narlikar 1938-2025 The North Star in Indian astrophysics, he was ahead of his time  and space",,https://indianexpress.com/article/india/jayant-narlikar-1938-2025-the-north-star-in-indian-astrophysics-he-was-ahead-of-his-time-and-space-10018570/,2025-05-20T22:50:58,Indian Express,India,en
Agri growth crucial to reduction of poverty NITI Aayog member,,https://indianexpress.com/article/india/agri-growth-crucial-to-reduction-of-poverty-niti-aayog-member-10018714/,2025-05-20T22:32:02,Indian Express,India,en
Stand united in fight against terrorism PM Modi speaks to German Chancellor,,https://indianexpress.com/article/india/stand-united-in-fight-against-terrorism-pm-modi-speaks-to-german-chancellor-10018703/,2025-05-20T22:08:46,Indian Express,India,en
PM chairs meeting on tourism hit by Pahalgam attack,,https://indianexpress.com/article/india/pm-chairs-meeting-on-tourism-hit-by-pahalgam-attack-10018700/,2025-05-20T22:04:30,Indian Express,India,en
"BJP model ensures select rich get money, Cong gives it to poor Rahul",,https://indianexpress.com/article/india/bjp-model-ensures-select-rich-get-money-cong-gives-it-to-poor-rahul-10018697/,2025-05-20T21:55:39,Indian Express,India,en
"Maharashtra gives permanent guest status to CJI Gavai, lists out protocol",,https://indianexpress.com/article/india/maharashtra-gives-permanent-guest-status-to-cji-gavai-lists-out-protocol-10018694/,2025-05-20T21:48:44,Indian Express,India,ca
New law designed to capture waqf by non-judicial process Sibal in SC,,https://indianexpress.com/article/india/new-law-designed-to-capture-waqf-by-non-judicial-process-sibal-in-sc-10018680/,2025-05-20T21:40:20,Indian Express,India,en
Delhi Confidential Global promotion,,https://indianexpress.com/article/india/delhi-confidential-global-promotion-10018676/,2025-05-20T21:32:44,Indian Express,India,it
FSSAI directs states to check use of illegal ripening agents,,https://indianexpress.com/article/india/fssai-directs-states-to-check-use-of-illegal-ripening-agents-10018661/,2025-05-20T21:24:36,Indian Express,India,en
JK L-G chairs security meeting ahead of Amarnath yatra,,https://indianexpress.com/article/india/jk-l-g-chairs-security-meeting-ahead-of-amarnath-yatra-10018660/,2025-05-20T21:20:03,Indian Express,India,en
Pawan Kalyans twin warning to police Rohingyas taking jobs from locals southern states vulnerable to terror,,https://indianexpress.com/article/india/pawan-kalyan-warning-police-rohingyas-southern-states-10018478/,2025-05-20T17:46:56,Indian Express,India,en
Jharkhand IAS officer among 2 arrested in multi-crore excise scam,,https://indianexpress.com/article/india/jharkhand-ias-officer-2-arrested-multi-crore-excise-scam-10018457/,2025-05-20T17:39:57,Indian Express,India,en
"Advani visited Pak to eulogise Jinnah, Modi to wish Nawaz happy birthday Under Himanta fire, Gaurav Gogoi hits back",,https://indianexpress.com/article/india/advani-visited-pak-jinnah-modi-nawaz-birthday-himanta-gaurav-gogoi-10018418/,2025-05-20T17:16:40,Indian Express,India,en
Commercial tax raids in Bengaluru uncover GST evasion 75 vehicles seized,,https://indianexpress.com/article/india/commercial-tax-raids-in-bengaluru-uncover-gst-evasion-75-vehicles-seized-10018368/,2025-05-20T17:07:16,Indian Express,India,en
"Principal supervisor, two others accused of using casteist language, abusing assistant teacher, acquitted",,https://indianexpress.com/article/india/principal-supervisor-two-others-accused-of-using-casteist-language-abusing-assistant-teacher-acquitted-10018139/,2025-05-20T16:07:47,Indian Express,India,en
"Kaleshwaram project irregularities KCR, nephew among Telangana ex-ministers summoned by probe panel",,https://indianexpress.com/article/india/kaleshwaram-project-kcr-nephew-telangana-summoned-10018179/,2025-05-20T16:06:57,Indian Express,India,en
"23-year-old woman duped 25 men through series of marriages, arrested Rajasthan Police",,https://indianexpress.com/article/india/23-year-old-woman-duped-25-men-marriages-arrested-rajasthan-10018100/,2025-05-20T16:05:09,Indian Express,India,en
Waqf a secular concept property dedication common across religions SG,,https://indianexpress.com/article/india/waqf-act-secular-concept-property-religion-supreme-court-10018080/,2025-05-20T14:53:34,Indian Express,India,en
Operation Sindoor to be part of curriculum in Uttarakhand madrasas,,https://indianexpress.com/article/india/operation-sindoor-to-be-part-of-curriculum-in-uttarakhand-madrasas-10017911/,2025-05-20T13:48:03,Indian Express,India,en
"Under fire for Col Qureshi remarks, MP minister not present at special Cabinet meeting",,https://indianexpress.com/article/india/vijay-shah-col-qureshi-special-cabinet-meeting-10017828/,2025-05-20T13:12:50,Indian Express,India,en
Trivial issue should not be blown out of proportion CJI B R Gavai on protocol issues during Maharashtra visit,,https://indianexpress.com/article/india/cji-br-gavai-protocol-issues-maharashtra-visit-10017732/,2025-05-20T12:13:18,Indian Express,India,en
"God does not forget nor forgive so easily In farewell speech, Madhya Pradesh HC judge says he was transferred with ill intention to harass me",,https://indianexpress.com/article/india/madhya-pradesh-hc-judge-farewell-speech-10017689/,2025-05-20T11:51:42,Indian Express,India,en
"ED arrests former chairman of UCO Bank for accepting bribe, approving Rs 6,210 crore loan to CSPL",,https://indianexpress.com/article/india/ed-arrests-former-chairman-uco-bank-bribe-6210-crore-loan-10017516/,2025-05-20T10:31:03,Indian Express,India,en
Intelligence Bureau chief Tapan Kumar Deka gets a one-year extension,,https://indianexpress.com/article/india/intelligence-bureau-chief-tapan-kumar-deka-gets-a-one-year-extension-10017512/,2025-05-20T10:14:29,Indian Express,India,en
Suspended employee arrested for stealing hard drive from Telangana Raj Bhavan,,https://indianexpress.com/article/india/suspended-employee-arrested-stealing-hard-drive-telangana-raj-bhavan-10017369/,2025-05-20T08:23:02,Indian Express,India,en
"M R Srinivasan, who built Indias N-power plants, dies President, Prime Minister pay tribute",,https://indianexpress.com/article/india/veteran-nuclear-scientist-m-r-srinivasan-dies-10017320/,2025-05-20T08:21:53,Indian Express,India,en
Indian climber dies while descending from Mount Lhotse summit point,,https://indianexpress.com/article/india/indian-climber-death-mount-lhotse-summit-point-10017242/,2025-05-20T08:01:53,Indian Express,India,en
"Monsoon onset over Kerala expected in next 4-5 days, says IMD",,https://indianexpress.com/article/india/monsoon-southwest-kerala-5-days-imd-onset-10017133/,2025-05-20T07:43:36,Indian Express,India,en
"Post-Pahalgam diplomatic push Before setting off for global outreach, all-party delegations to be given talking points today",,https://indianexpress.com/article/india/post-pahalgam-global-outreach-all-party-delegations-given-talking-points-today-10017213/,2025-05-20T07:09:23,Indian Express,India,en
"What if it explodes? In Poonch, Pakistan shelling is over but some fear remains",,https://indianexpress.com/article/india/poonch-pakistan-shelling-unexploded-shells-munitions-fear-families-10017195/,2025-05-20T07:05:32,Indian Express,India,en
SC reinstates 3-year minimum practice requirement for law graduates entry into judicial services,,https://indianexpress.com/article/india/fresh-law-grads-not-appear-judicial-services-exam-sc-10016974/,2025-05-20T06:37:01,Indian Express,India,en
"India Pakistan News Live Updates MP delegations commence Operation Sindoor outreach today UAE, Japan first stops",,https://indianexpress.com/article/india/india-pakistan-news-live-updates-ceasefire-congress-bjp-govt-policy-opposition-10016806/,2025-05-20T05:15:28,Indian Express,India,en
Tripura holds high-level meeting to implement new restrictions on border trade with Bangladesh,,https://indianexpress.com/article/india/tripura-high-level-meeting-implement-new-restrictions-border-trade-bangladesh-10016882/,2025-05-20T04:34:24,Indian Express,India,en
India has adequate weapons to take on entire Pakistan Top Army officer,,https://indianexpress.com/article/india/india-pakistan-weapons-top-army-officer-10016802/,2025-05-20T04:25:02,Indian Express,India,en
Madhya Pradesh Police sets up SIT to probe minister Vijay Shahs remarks against Col Qureshi,,https://indianexpress.com/article/india/madhya-pradesh-police-sit-probe-minister-vijay-shah-remarks-col-qureshi-10016773/,2025-05-20T02:58:44,Indian Express,India,en
"3 students killed in Pakistan shelling, Poonch school opens with tears  and a prayer",,https://indianexpress.com/article/india/pakistan-shelling-poonch-school-opens-with-killed-students-10016590/,2025-05-20T02:00:36,Indian Express,India,en
NIA makes first arrest over 2024 attack on Indian Reserve Battalion post in Manipur,,https://indianexpress.com/article/india/nia-makes-first-arrest-over-2024-attack-on-indian-reserve-battalion-post-in-manipur-10016490/,2025-05-20T01:42:23,Indian Express,India,en
"In fresh crackdown, Odisha directs Special Task Force to identify illegal immigrants",,https://indianexpress.com/article/india/in-fresh-crackdown-odisha-directs-special-task-force-to-identify-illegal-immigrants-10016461/,2025-05-20T01:41:30,Indian Express,India,en
Wife living in adultery is not entitled to maintenance Chhattisgarh High Court,,https://indianexpress.com/article/india/wife-living-in-adultery-is-not-entitled-to-maintenance-chhattisgarh-high-court-10016493/,2025-05-20T01:38:06,Indian Express,India,en
Told me to get water from toilet Dalit womans treatment at Kerala police station sparks furore,,https://indianexpress.com/article/india/polices-treatment-of-dalit-woman-after-false-theft-case-sparks-furore-in-kerala-10016497/,2025-05-20T01:35:52,Indian Express,India,en
